id,sigla,nome,regiao_id,regiao_sigla,regiao_nome
12,AC,Acre,1,N,Norte
27,AL,Alagoas,2,NE,Nordeste
16,AP,Amapá,1,N,Norte
13,AM,Amazonas,1,N,Norte
29,BA,Bahia,2,NE,Nordeste
23,CE,Ceará,2,NE,Nordeste
53,DF,Distrito Federal,5,CO,Centro-Oeste
32,ES,Espírito Santo,3,SE,Sudeste
52,GO,Goiás,5,CO,Centro-Oeste
21,MA,Maranhão,2,NE,Nordeste
51,MT,Mato Grosso,5,CO,Centro-Oeste
50,MS,Mato Grosso do Sul,5,CO,Centro-Oeste
31,MG,Minas Gerais,3,SE,Sudeste
15,PA,Pará,1,N,Norte
25,PB,Paraíba,2,NE,Nordeste
41,PR,Paraná,4,S,Sul
26,PE,Pernambuco,2,NE,Nordeste
22,PI,Piauí,2,NE,Nordeste
33,RJ,Rio de Janeiro,3,SE,Sudeste
24,RN,Rio Grande do Norte,2,NE,Nordeste
43,RS,Rio Grande do Sul,4,S,Sul
11,RO,Rondônia,1,N,Norte
14,RR,Roraima,1,N,Norte
42,SC,Santa Catarina,4,S,Sul
35,SP,São Paulo,3,SE,Sudeste
28,SE,Sergipe,2,NE,Nordeste
17,TO,Tocantins,1,N,Norte
